metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS,DMS_split_at_1000,50,20.7,8.04001,12.66,10.6544,2.35407e-14,1.08628e-09
final_cost,DMS,DMS_split_at_500,50,20.7,8.00001,12.7,10.6461,2.41771e-14,2.1002e-09
final_cost,DMS,DMS_split_at_300,50,20.7,8.06001,12.64,10.7464,1.74845e-14,1.63061e-09
final_cost,DMS,DMS_split_at_100,50,20.7,7.82001,12.88,10.7896,1.52068e-14,1.15432e-09
final_cost,DMS,DMS_split_0.5,50,20.7,8.10001,12.6,10.6927,2.07954e-14,1.87462e-09
final_cost,DMS,DMS_split_at_50,50,20.7,7.98001,12.72,10.9467,9.18247e-15,1.25592e-09
final_cost,DMS,DMS_split_0.4_0.6,50,20.7,8.94001,11.76,9.9345,2.50281e-13,2.99188e-09
final_cost,DMS,MS_split_0.5,50,20.7,81.8,-61.1,-25.386,7.49579e-30,7.55522e-10
final_cost,DMS,MS_split_MGM_200,50,20.7,20.98,-0.279996,-0.217183,0.828967,0.973047
final_cost,DMS,MS_split_opt_200,50,20.7,20.14,0.560004,0.428819,0.669935,0.578842
final_cost,DMS,Attentive,50,20.7,27.22,-6.52,-1.77911,0.0814247,0.70813
final_cost,DMS,MS,50,20.7,87.7689,-67.0689,-41.2202,1.0653e-39,1.77636e-15
final_cost,DMS,Attentive_NoSplit,50,20.7,23.9952,-3.29522,-2.06349,0.0443837,0.026167
final_cost,DMS,MS_split_MGM_inverted_200,50,20.7,25.6578,-4.95774,-3.92377,0.000271777,0.000450602
final_cost,DMS_split_at_1000,DMS_split_at_500,50,8.04001,8.00001,0.0400001,0.230284,0.81883,0.877944
final_cost,DMS_split_at_1000,DMS_split_at_300,50,8.04001,8.06001,-0.0199999,-0.131144,0.896198,0.954234
final_cost,DMS_split_at_1000,DMS_split_at_100,50,8.04001,7.82001,0.22,1.33455,0.188193,0.0807822
final_cost,DMS_split_at_1000,DMS_split_0.5,50,8.04001,8.10001,-0.0599997,-0.401109,0.690083,0.755034
final_cost,DMS_split_at_1000,DMS_split_at_50,50,8.04001,7.98001,0.0600002,0.357996,0.721884,0.58561
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,8.04001,8.94001,-0.900001,-3.21078,0.00233864,0.00011973
final_cost,DMS_split_at_1000,MS_split_0.5,50,8.04001,81.8,-73.76,-34.6015,4.26894e-36,7.51942e-10
final_cost,DMS_split_at_1000,MS_split_MGM_200,50,8.04001,20.98,-12.94,-20.6631,7.69939e-26,8.00398e-10
final_cost,DMS_split_at_1000,MS_split_opt_200,50,8.04001,20.14,-12.1,-20.5609,9.57838e-26,7.99856e-10
final_cost,DMS_split_at_1000,Attentive,50,8.04001,27.22,-19.18,-5.3452,2.34467e-06,7.24998e-08
final_cost,DMS_split_at_1000,MS,50,8.04001,87.7689,-79.7289,-72.9433,1.20929e-51,1.77636e-15
final_cost,DMS_split_at_1000,Attentive_NoSplit,50,8.04001,23.9952,-15.9552,-10.4839,4.09619e-14,1.95399e-13
final_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,8.04001,25.6578,-17.6177,-35.752,9.12626e-37,1.77636e-15
final_cost,DMS_split_at_500,DMS_split_at_300,50,8.00001,8.06001,-0.06,-0.380812,0.704989,0.844112
final_cost,DMS_split_at_500,DMS_split_at_100,50,8.00001,7.82001,0.18,1.84261,0.0714403,0.0873287
final_cost,DMS_split_at_500,DMS_split_0.5,50,8.00001,8.10001,-0.0999998,-0.797723,0.428881,0.494567
final_cost,DMS_split_at_500,DMS_split_at_50,50,8.00001,7.98001,0.0200002,0.126772,0.89964,0.484052
final_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,8.00001,8.94001,-0.940001,-3.21977,0.00227904,0.000122225
final_cost,DMS_split_at_500,MS_split_0.5,50,8.00001,81.8,-73.8,-34.675,3.86279e-36,7.53134e-10
final_cost,DMS_split_at_500,MS_split_MGM_200,50,8.00001,20.98,-12.98,-20.9,4.6573e-26,7.53134e-10
final_cost,DMS_split_at_500,MS_split_opt_200,50,8.00001,20.14,-12.14,-20.6836,7.37142e-26,7.53134e-10
final_cost,DMS_split_at_500,Attentive,50,8.00001,27.22,-19.22,-5.36254,2.20719e-06,7.6917e-08
final_cost,DMS_split_at_500,MS,50,8.00001,87.7689,-79.7689,-72.4225,1.7125e-51,1.77636e-15
final_cost,DMS_split_at_500,Attentive_NoSplit,50,8.00001,23.9952,-15.9952,-10.4221,5.01224e-14,1.95399e-13
final_cost,DMS_split_at_500,MS_split_MGM_inverted_200,50,8.00001,25.6578,-17.6577,-35.5419,1.20537e-36,1.77636e-15
final_cost,DMS_split_at_300,DMS_split_at_100,50,8.06001,7.82001,0.24,1.66149,0.103,0.0851764
final_cost,DMS_split_at_300,DMS_split_0.5,50,8.06001,8.10001,-0.0399998,-0.305795,0.761056,0.919051
final_cost,DMS_split_at_300,DMS_split_at_50,50,8.06001,7.98001,0.0800001,0.550824,0.584257,0.537341
final_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,8.06001,8.94001,-0.880001,-3.18288,0.00253301,0.000190849
