metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS,DMS_split_at_1000,50,101905,101336,569.22,2.62236,0.0116035,0.0609373
final_cost,DMS,DMS_split_at_500,50,101905,101445,460.02,2.06814,0.0439263,0.369381
final_cost,DMS,DMS_split_at_300,50,101905,101479,425.4,1.82318,0.07438,0.808824
final_cost,DMS,DMS_split_at_100,50,101905,101540,365.04,1.56985,0.122885,0.972071
final_cost,DMS,DMS_split_at_50,50,101905,101530,374.52,1.64359,0.106662,0.972071
final_cost,DMS,DMS_split_0.4_0.6,50,101905,101583,321.42,1.26788,0.210833,0.489354
final_cost,DMS,DMS_split_0.5,50,101905,101571,333.74,1.3328,0.188762,0.472034
final_cost,DMS,MS_split_0.5,50,101905,107330,-5425.32,-15.005,5.95141e-20,1.77636e-14
final_cost,DMS,MS_split_MGM_200,50,101905,101562,343.26,1.39492,0.169331,0.723259
final_cost,DMS,MS_split_opt_200,50,101905,101562,343.26,1.39492,0.169331,0.723259
final_cost,DMS,Attentive,50,101905,99223.7,2681.16,11.5739,1.26342e-15,1.77636e-15
final_cost,DMS,DMS_split_at_1500,50,101905,101433,471.949,2.00573,0.0504225,0.766733
final_cost,DMS,MS,50,101905,108077,-6171.67,-21.5601,1.17499e-26,3.55271e-15
final_cost,DMS,Attentive_NoSplit,50,101905,100310,1595.05,3.78053,0.000425507,0.0011051
final_cost,DMS,MS_split_MGM_inverted_200,50,101905,104624,-2719.43,-10.6769,2.18814e-14,1.34719e-11
final_cost,DMS,DMS_0.5_split_0.5,50,101905,101651,253.41,1.09568,0.278576,0.327775
final_cost,DMS_split_at_1000,DMS_split_at_500,50,101336,101445,-109.2,-1.72417,0.0909823,0.112565
final_cost,DMS_split_at_1000,DMS_split_at_300,50,101336,101479,-143.82,-1.86015,0.0688716,0.102525
final_cost,DMS_split_at_1000,DMS_split_at_100,50,101336,101540,-204.18,-2.3921,0.0206332,0.038864
final_cost,DMS_split_at_1000,DMS_split_at_50,50,101336,101530,-194.7,-2.65554,0.010653,0.0102452
final_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,101336,101583,-247.8,-2.65627,0.0106329,0.0144031
