algorithm,seed,final_cost,anytime_cost
MS,0,74248.254023,71132.259905
MS,2,71738.245969,69599.253805
MS,1,71411.238311,69767.252067
DMS,1,72492.247149,67248.263227
DMS,2,67821.269271,66370.243364
DMS,0,72234.206878,67425.293668
DMS_split_at_1000,1,68351.251945,67248.263227
DMS_split_at_1000,0,68099.260286,67425.293668
DMS_split_at_500,1,66814.267448,66504.257045
DMS_split_at_500,0,68361.280307,67829.282532
MS,3,79011.252361,75483.259762
DMS_split_at_300,1,66721.259879,66721.259879
DMS_split_at_300,0,68813.228774,67836.238627
DMS_split_0.4_0.6,2,67068.271191,66242.260199
DMS_split_at_100,2,67006.249127,66560.256394
DMS_split_at_100,1,67463.232147,66972.225593
DMS_split_at_50,1,67442.262689,67131.249892
DMS_split_at_50,2,67072.256985,67072.256985
DMS_split_0.5,2,68001.241575,67391.244226
DMS_split_0.5,1,67042.210325,66659.222989
DMS_split_0.4_0.6,0,67773.280245,67756.280700
DMS_split_0.4_0.6,1,68318.253696,68178.254996
DMS_split_at_100,0,67625.239599,67220.242825
DMS_split_at_50,0,68274.277252,67600.250700
DMS_split_0.5,0,68893.280087,68762.282740
DMS,3,77025.240300,72222.236181
DMS_split_at_1000,2,67821.269271,66370.243364
DMS_split_at_500,2,67760.256648,67233.259324
DMS_split_at_300,2,66393.259248,66307.247529
MS,4,73016.232727,70562.261993
MS,5,73943.245001,72117.240654
DMS,4,68281.229722,66947.267735
DMS,5,69054.251217,68532.224086
DMS_split_at_1000,3,73565.225549,73043.220876
DMS_split_0.5,3,73127.209847,73031.210841
DMS_split_0.4_0.6,3,72348.262664,72117.265203
DMS_split_at_1000,4,67592.256833,66947.267735
DMS_split_at_500,3,71709.228500,71695.226704
DMS_split_at_50,3,74073.242825,73834.238097
DMS_split_at_500,4,69097.228239,68740.231038
DMS_split_at_300,4,68317.228093,67960.239400
DMS_split_at_300,3,73086.250339,72919.257854
DMS_split_at_100,3,73787.244025,73040.260541
DMS_split_at_100,4,68221.258685,67921.269519
DMS_split_0.5,4,67562.221620,67547.219672
DMS_split_at_50,4,67708.256200,67708.256200
DMS_split_0.4_0.6,4,66899.249207,66867.249088
DMS_split_0.5,5,68993.237923,68776.251211
MS,6,69844.298396,67921.256149
DMS_split_at_50,5,69604.246029,69604.246029
DMS_split_0.4_0.6,5,68221.240933,68033.239279
DMS,6,69489.279860,64032.264296
DMS_split_at_1000,5,69054.251217,68532.224086
MS,7,70568.251996,67690.253021
DMS_split_at_100,5,70087.217807,68337.207042
DMS_split_at_300,5,69243.268906,68532.224086
DMS_split_at_500,5,69071.236862,68532.224086
MS_split_0.5,1,72188.239515,70096.226929
MS_split_MGM_200,1,68122.268722,68122.268722
MS_split_opt_200,1,68122.268722,68122.268722
MS_split_0.5,0,73532.277820,71484.222544
MS_split_MGM_200,0,68783.249322,68783.249322
MS_split_opt_200,0,68783.249322,68783.249322
DMS,7,68530.233325,64447.237623
DMS_split_at_1000,6,64870.239438,64549.278092
MS,8,67337.274289,65944.279607
DMS_split_at_500,6,64584.269943,64549.278092
DMS_split_at_300,6,65040.274907,64864.272108
DMS_split_at_50,6,65849.265393,65235.274651
DMS_split_at_100,6,65171.293893,64966.283154
DMS_split_0.4_0.6,6,64426.267215,63887.264796
DMS_split_0.5,6,64322.266408,63595.288371
DMS,8,64858.283776,62913.283839
DMS_split_0.5,7,65156.248393,64511.265603
MS_split_0.5,2,71601.246482,69506.259069
MS_split_MGM_200,2,66971.305497,66971.305497
MS_split_opt_200,2,66971.305497,66971.305497
DMS_split_at_1000,7,64791.234127,64715.243338
DMS_split_0.4_0.6,7,65457.282617,64730.290877
DMS_split_at_50,7,65523.208674,64876.220179
DMS_split_at_300,7,65078.286300,64777.293006
DMS_split_at_100,7,65499.229369,65438.256128
MS,9,70958.236214,69079.260527
DMS_split_at_500,7,64009.249273,63970.239894
DMS,9,69687.214396,65129.252198
DMS_split_0.4_0.6,8,62657.247397,62470.243555
DMS_split_0.5,8,63056.261978,63047.255100
DMS_split_at_50,8,63625.251245,63500.249969
DMS_split_at_100,8,63433.275398,63149.266845
DMS_split_at_1000,8,62930.241397,62864.246629
MS_split_0.5,3,78466.248444,75871.268234
MS_split_MGM_200,3,72708.270174,72708.270174
MS_split_opt_200,3,72708.270174,72708.270174
MS_split_0.5,4,72619.261246,70596.274852
MS_split_MGM_200,4,68452.215912,68452.215912
MS_split_opt_200,4,68452.215912,68452.215912
DMS_split_at_500,8,63833.272481,62913.283839
MS,10,75397.238524,73567.250073
DMS_split_at_300,8,62962.268664,62742.272540
DMS,10,74573.272682,70355.269981
DMS_split_0.5,9,65407.236520,65374.232628
DMS_split_0.4_0.6,9,66046.284892,65735.250108
DMS_split_at_1000,9,65485.224691,65330.196659
MS,11,71046.268398,68514.256240
DMS_split_at_300,9,66028.231134,66028.231134
DMS_split_at_50,9,65702.247650,65662.247203
DMS_split_at_100,9,66055.247684,65895.245071
DMS_split_at_500,9,64796.244543,64240.251135
DMS,11,70714.261773,64315.271760
DMS_split_at_1000,10,70490.240740,70273.252846
DMS_split_0.5,10,71312.254170,70862.259236
DMS_split_0.4_0.6,10,70777.243772,70777.243772
DMS_split_at_500,10,71189.268615,70625.264291
MS,12,73491.257221,71291.234688
MS_split_0.5,5,74596.234336,72077.206415
MS_split_MGM_200,5,69204.208992,69204.208992
MS_split_opt_200,5,69204.208992,69204.208992
DMS_split_at_300,10,71521.238807,70878.239496
DMS_split_at_100,10,70494.254178,70494.254178
DMS_split_at_50,10,70076.254128,69947.246413
MS_split_0.5,6,69954.231964,67898.249690
MS_split_MGM_200,6,65479.250019,65479.250019
MS_split_opt_200,6,65479.250019,65479.250019
DMS,12,68390.243388,68133.244334
DMS_split_0.5,11,66273.262332,66039.263595
DMS_split_0.4_0.6,11,65235.290695,65235.290695
DMS_split_at_50,11,65931.250460,65682.250716
DMS_split_at_1000,11,65788.234475,65146.293574
DMS_split_at_100,11,65518.255428,65348.259429
DMS_split_at_500,11,65423.269810,65146.293574
MS,13,73721.250985,72063.258281
DMS_split_at_300,11,66067.276780,66067.276780
MS_split_0.5,7,70291.257094,67801.270362
MS_split_MGM_200,7,65425.215092,65425.215092
MS_split_opt_200,7,65425.215092,65425.215092
DMS,13,73245.244479,68223.287140
DMS_split_0.4_0.6,12,68836.230669,68655.233794
DMS_split_0.5,12,68527.249870,68527.249870
DMS_split_at_50,12,69571.270846,68631.278039
MS,14,73970.249691,71093.243582
DMS_split_at_1000,12,68390.243388,68133.244334
DMS_split_at_300,12,68318.210453,67989.210568
DMS,14,68128.259337,67340.240576
MS_split_0.5,8,68531.264737,65957.264331
MS_split_MGM_200,8,63161.239465,63161.239465
MS_split_opt_200,8,63161.239465,63161.239465
DMS_split_at_500,12,68169.254907,68152.260480
DMS_split_at_100,12,68543.238255,67983.249184
DMS_split_0.5,13,69359.247495,69136.244993
MS,15,77172.237535,74338.223767
DMS_split_at_1000,13,69453.214630,68625.262792
DMS_split_0.4_0.6,13,68756.252966,68669.244282
DMS_split_at_300,13,69716.269235,68625.262792
DMS_split_at_100,13,69746.255549,69669.256175
DMS_split_at_500,13,69448.238557,68625.262792
DMS_split_at_50,13,69712.252899,69386.246813
MS_split_0.5,9,70422.269949,68752.258894
MS_split_MGM_200,9,66774.251336,66774.251336
MS_split_opt_200,9,66774.251336,66774.251336
DMS,15,70229.286586,69581.283325
DMS_split_0.4_0.6,14,68841.241214,68355.242976
DMS_split_0.5,14,68814.237894,68401.227406
DMS_split_at_1000,14,67550.255759,67204.252069
DMS_split_at_50,14,68481.229983,68085.229113
MS,16,73496.229931,70190.250669
DMS_split_at_100,14,68279.266495,68263.264881
DMS_split_at_500,14,67800.269617,67730.273935
DMS_split_at_300,14,68174.224535,67546.211854
MS_split_0.5,10,76354.244015,73562.275721
MS_split_MGM_200,10,71796.258582,71796.258582
MS_split_opt_200,10,71796.258582,71796.258582
DMS,16,70544.223877,67176.255681
DMS_split_0.5,15,71313.230804,70517.234166
DMS_split_0.4_0.6,15,71238.223860,71114.253088
MS_split_0.5,11,70105.264018,68316.250363
MS_split_MGM_200,11,65911.257100,65911.257100
MS_split_opt_200,11,65911.257100,65911.257100
MS,17,75508.302785,73532.270385
DMS_split_at_100,15,69957.240059,69890.234917
DMS_split_at_500,15,70229.286586,69581.283325
DMS_split_at_300,15,70229.286586,69581.283325
DMS_split_at_1000,15,70229.286586,69581.283325
DMS_split_at_50,15,70296.238962,70296.238962
DMS,17,74246.260665,69911.239439
DMS_split_at_50,16,67907.269791,67564.203443
DMS_split_at_1000,16,67944.230724,67176.255681
DMS_split_0.5,16,67744.226916,67104.227157
DMS_split_at_500,16,67559.237871,67176.255681
DMS_split_at_100,16,68536.242407,67564.203443
DMS_split_at_300,16,67418.261417,67176.255681
DMS_split_0.4_0.6,16,67238.287870,67238.287870
MS,18,75647.226849,72987.247257
MS_split_0.5,12,72919.266801,71337.245423
MS_split_MGM_200,12,69754.249386,69754.249386
MS_split_opt_200,12,69754.249386,69754.249386
DMS,18,73211.249175,70314.190359
DMS_split_at_50,17,71660.216408,70882.213657
DMS_split_at_1000,17,70999.261135,69911.239439
DMS_split_at_500,17,70721.253522,69911.239439
MS,19,78932.266033,77253.260444
MS_split_0.5,13,74529.250920,72023.243932
MS_split_MGM_200,13,69488.200724,69488.200724
MS_split_opt_200,13,69488.200724,69488.200724
DMS_split_0.4_0.6,17,69906.233797,69774.234302
DMS_split_0.5,17,71664.233773,71192.230084
DMS_split_at_300,17,71001.241699,69911.239439
DMS_split_at_100,17,70888.234346,70369.247052
DMS,19,74312.268289,73719.276600
